title,author,language,publish_date,isbn,asin,description,internal_details,series,settings,characters,awards,formats
The Scarlet Letter,Nathaniel Hawthorne,English,04/12/23,,,"Hawthorne's American masterpiece follows Hester Prynne in Puritan New England as she bears the punishment for adultery while protecting her partner in sin, creating a powerful exploration of guilt and redemption.","Hawthorne's American masterpiece follows Hester Prynne in Puritan New England as she bears the punishment for adultery while protecting her partner in sin, creating a powerful exploration of guilt and redemption.",,"Boston, Massachusetts, 1640s","Hester Prynne,Arthur Dimmesdale",,digital
The School for Scandal,Richard Brinsley Sheridan,English,04/12/23,,,"Sheridan's comic masterpiece skewers hypocrisy through contrasting brothers—one apparently virtuous but secretly treacherous, one reputedly dissolute but ultimately honorable—amid a backdrop of malicious gossip.","Sheridan's comic masterpiece skewers hypocrisy through contrasting brothers—one apparently virtuous but secretly treacherous, one reputedly dissolute but ultimately honorable—amid a backdrop of malicious gossip.",,"London, 18th century","Lady Teazle,Sir Peter Teazle",,digital
The Sea-Wolf,Jack London,English,04/12/23,,,"Jack London's psychological adventure pits an intellectual gentleman against the brutal captain of a sealing vessel, exploring philosophical questions about strength, survival, and human nature.","Jack London's psychological adventure pits an intellectual gentleman against the brutal captain of a sealing vessel, exploring philosophical questions about strength, survival, and human nature.",,"Pacific Ocean, early 20th century","Humphrey Van Weyden,Wolf Larsen",,digital
The Secret Agent,Joseph Conrad,English,04/12/23,,,"Conrad's dark masterpiece follows a spy tasked with bombing the Greenwich Observatory, creating a prescient exploration of terrorism, anarchy, and moral corruption in modern urban society.","Conrad's dark masterpiece follows a spy tasked with bombing the Greenwich Observatory, creating a prescient exploration of terrorism, anarchy, and moral corruption in modern urban society.",,"London, 1886","Adolf Verloc,Winnie Verloc",,digital
The Son of Tarzan,Edgar Rice Burroughs,English,04/12/23,,,"The ape-man's son follows in his father's footsteps when he escapes civilization for the African jungle, finding both danger and romance in this fourth installment of Burroughs' popular series.","The ape-man's son follows in his father's footsteps when he escapes civilization for the African jungle, finding both danger and romance in this fourth installment of Burroughs' popular series.",,"African jungle and London, early 20th century","Korak,Meriem",,digital
The Song of the Lark,Willa Cather,English,04/12/23,,,"Cather's coming-of-age novel follows a talented singer from her Colorado childhood to operatic success, exploring the development of an artist and the sacrifices required for greatness.","Cather's coming-of-age novel follows a talented singer from her Colorado childhood to operatic success, exploring the development of an artist and the sacrifices required for greatness.",,"Colorado and Chicago, early 20th century",Thea Kronborg,,digital
The Sorrows of Young Werther,Johann Wolfgang von Goethe,German,04/12/23,,,"Goethe's sensational epistolary novel follows a sensitive artist's passionate but hopeless love for a married woman, capturing the emotional intensity of the Sturm und Drang movement.","Goethe's sensational epistolary novel follows a sensitive artist's passionate but hopeless love for a married woman, capturing the emotional intensity of the Sturm und Drang movement.",,"German principality, 1771-1772","Werther,Charlotte",,digital
The Stranger,Albert Camus,French,04/12/23,,,"Camus' existentialist masterpiece follows a French Algerian who commits a seemingly motiveless murder and faces his execution with detached indifference, challenging conventional morality and meaning.","Camus' existentialist masterpiece follows a French Algerian who commits a seemingly motiveless murder and faces his execution with detached indifference, challenging conventional morality and meaning.",,"Algiers, 1940s","Meursault,Marie Cardona",,digital
The Suppliants,Aeschylus,Greek,04/12/23,,,"Aeschylus's drama follows fifty Egyptian women seeking asylum in Argos to escape forced marriage, creating an ancient exploration of refugee rights and political decision-making.","Aeschylus's drama follows fifty Egyptian women seeking asylum in Argos to escape forced marriage, creating an ancient exploration of refugee rights and political decision-making.",,"Argos, mythological era","The Danaids,King Pelasgus",,digital
The Taking of the Redoubt,Prosper Mérimée,French,04/12/23,,,"Mérimée's terse narrative follows a young officer's first combat experience during the Napoleonic Wars, creating a powerful psychological portrait of fear and courage under fire.","Mérimée's terse narrative follows a young officer's first combat experience during the Napoleonic Wars, creating a powerful psychological portrait of fear and courage under fire.",,Russia during Napoleonic Wars,"Narrator,Captain",,digital
The Tale of Genji,Murasaki Shikibu,Japanese,04/12/23,,,"Murasaki Shikibu's eleventh-century masterpiece follows the romantic and political adventures of the son of a Japanese emperor, creating the world's first psychological novel.","Murasaki Shikibu's eleventh-century masterpiece follows the romantic and political adventures of the son of a Japanese emperor, creating the world's first psychological novel.",,"Imperial Court of Japan, early 11th century","Prince Genji,Lady Murasaki",,digital
The Taming of the Shrew,William Shakespeare,English,04/12/23,,,"Shakespeare's controversial comedy follows the courtship of the headstrong Katherina by the equally determined Petruchio, exploring gender roles and marriage with wit and complexity.","Shakespeare's controversial comedy follows the courtship of the headstrong Katherina by the equally determined Petruchio, exploring gender roles and marriage with wit and complexity.",,"Padua, Italy, Renaissance era","Katherina,Petruchio",,digital
The Tempest,William Shakespeare,English,04/12/23,,,"Shakespeare's final solo play follows the magician Prospero's orchestration of a shipwreck that brings his enemies to his enchanted island, creating a magical exploration of power, revenge, and forgiveness.","Shakespeare's final solo play follows the magician Prospero's orchestration of a shipwreck that brings his enemies to his enchanted island, creating a magical exploration of power, revenge, and forgiveness.",,"Enchanted island in the Mediterranean, Renaissance era","Prospero,Miranda",,digital
The Temptation of Saint Anthony,Gustave Flaubert,French,04/12/23,,,"Flaubert's visionary novel depicts the desert hermit besieged by fantastic visions representing religious, philosophical, and carnal temptations, creating a dreamlike encyclopedia of human belief.","Flaubert's visionary novel depicts the desert hermit besieged by fantastic visions representing religious, philosophical, and carnal temptations, creating a dreamlike encyclopedia of human belief.",,"Egyptian desert, 4th century CE","Saint Anthony,The Devil",,digital
The Three Musketeers,Alexandre Dumas,French,04/12/23,,,"Dumas' swashbuckling adventure follows young d'Artagnan and his three companions—Athos, Porthos, and Aramis—as they battle the schemes of Cardinal Richelieu in 17th century France.","Dumas' swashbuckling adventure follows young d'Artagnan and his three companions—Athos, Porthos, and Aramis—as they battle the schemes of Cardinal Richelieu in 17th century France.",,"France, 1625-1628","D'Artagnan,Athos",,digital
The Time Machine,H.G. Wells,English,04/12/23,,,"Wells' pioneering science fiction novella follows an inventor traveling to the distant future where humanity has evolved into two distinct species, offering a disturbing vision of evolution and class division.","Wells' pioneering science fiction novella follows an inventor traveling to the distant future where humanity has evolved into two distinct species, offering a disturbing vision of evolution and class division.",,"London and far future Earth, late Victorian era",The Time Traveller,,digital
